CVE-2016-0723,CWE-362,CWE-200
CVE-2016-0728,CWE-190
CVE-2016-0758,CWE-190
CVE-2016-0774,CWE-20
CVE-2016-0821,CWE-254
CVE-2016-0823,CWE-200
CVE-2016-10044,CWE-264
CVE-2016-10088,CWE-416
CVE-2016-10147,CWE-476
CVE-2016-10150,CWE-416,CWE-264
CVE-2016-10153,CWE-399
CVE-2016-10154,CWE-119
CVE-2016-10200,CWE-416,CWE-362,CWE-264
CVE-2016-10208,CWE-125
CVE-2016-10229,CWE-358
CVE-2016-10277,CWE-264
CVE-2016-10283,CWE-264
CVE-2016-10284,CWE-264
CVE-2016-10285,CWE-264
CVE-2016-10286,CWE-264
CVE-2016-10287,CWE-264
CVE-2016-10288,CWE-264
CVE-2016-10289,CWE-264
CVE-2016-10290,CWE-264
CVE-2016-10291,CWE-264
CVE-2016-10292,CWE-399
CVE-2016-10293,CWE-200
CVE-2016-10294,CWE-200
CVE-2016-10295,CWE-200
CVE-2016-10296,CWE-200
CVE-2016-10318,CWE-264
CVE-2016-10723,CWE-399
CVE-2016-1237,CWE-284
CVE-2016-1575,CWE-264
CVE-2016-1576,CWE-264
CVE-2016-1583,CWE-119
CVE-2016-2053,CWE-310
CVE-2016-2059,CWE-362,CWE-264
CVE-2016-2061,CWE-264
CVE-2016-2062,CWE-20,CWE-119
CVE-2016-2063,CWE-119
CVE-2016-2064,CWE-125
CVE-2016-2065,CWE-787
CVE-2016-2066,CWE-119,CWE-264
CVE-2016-2067,CWE-264
CVE-2016-2068,CWE-119,CWE-189
CVE-2016-2069,CWE-362
CVE-2016-2070,CWE-189
CVE-2016-2085,CWE-19
CVE-2016-2117,CWE-200
CVE-2016-2143,CWE-20
CVE-2016-2184,CWE-476
CVE-2016-2185,CWE-476
CVE-2016-2186,CWE-476
CVE-2016-2187,CWE-476
CVE-2016-2188,CWE-476
CVE-2016-2383,CWE-200
CVE-2016-2384,CWE-415
CVE-2016-2543,CWE-476
CVE-2016-2544,CWE-362
CVE-2016-2545,CWE-362
CVE-2016-2546,CWE-362
CVE-2016-2547,CWE-362
CVE-2016-2548,CWE-20
CVE-2016-2549,CWE-20
