CVE-2010-0003,CWE-200
CVE-2010-0006,CWE-476
CVE-2010-0007,CWE-264
CVE-2010-0008,CWE-399
CVE-2010-0291,CWE-264
CVE-2010-0298,CWE-264
CVE-2010-0307,"$The load_elf_binary function in fs/binfmt_elf.c in the Linux kernel before 2.6.32.8 on the x86_64 platform does not ensure that the ELF interpreter is available before a call to the SET_PERSONALITY macro, which allows local users to cause a denial of service (system crash) via a 32-bit application that attempts to execute a 64-bit application and then triggers a segmentation fault, as demonstrated by amd64_killer, related to the flush_old_exec function.$"
CVE-2010-0410,CWE-399
CVE-2010-0415,"$The do_pages_move function in mm/migrate.c in the Linux kernel before 2.6.33-rc7 does not validate node values, which allows local users to read arbitrary kernel memory locations, cause a denial of service (OOPS), and possibly have unspecified other impact by specifying a node that is not part of the kernel's node set.$"
CVE-2010-0437,"$The ip6_dst_lookup_tail function in net/ipv6/ip6_output.c in the Linux kernel before 2.6.27 does not properly handle certain circumstances involving an IPv6 TUN network interface and a large number of neighbors, which allows attackers to cause a denial of service (NULL pointer dereference and OOPS) or possibly have unspecified other impact via unknown vectors.$"
CVE-2010-0622,"$The wake_futex_pi function in kernel/futex.c in the Linux kernel before 2.6.33-rc7 does not properly handle certain unlock operations for a Priority Inheritance (PI) futex, which allows local users to cause a denial of service (OOPS) and possibly have unspecified other impact via vectors involving modification of the futex value from user space.$"
CVE-2010-0623,CWE-20
CVE-2010-0727,CWE-399
CVE-2010-0741,CWE-20
CVE-2010-1083,CWE-399
CVE-2010-1084,CWE-119
CVE-2010-1085,CWE-189
CVE-2010-1086,CWE-399
CVE-2010-1087,NVD-CWE-noinfo
CVE-2010-1088,NVD-CWE-noinfo
CVE-2010-1146,CWE-264
CVE-2010-1148,$The cifs_create function in fs/cifs/dir.c in the Linux kernel 2.6.33.2 and earlier allows local users to cause a denial of service (NULL pointer dereference and OOPS) or possibly have unspecified other impact via a NULL nameidata (aka nd) field in a POSIX file-creation request to a server that supports UNIX extensions.$
CVE-2010-1162,"$The release_one_tty function in drivers/char/tty_io.c in the Linux kernel before 2.6.34-rc4 omits certain required calls to the put_pid function, which has unspecified impact and local attack vectors.$"
CVE-2010-1173,CWE-20
CVE-2010-1187,CWE-476
CVE-2010-1188,CWE-399
CVE-2010-1436,CWE-399
CVE-2010-1437,CWE-362
CVE-2010-1446,CWE-264
CVE-2010-1451,CWE-119
CVE-2010-1488,CWE-399
CVE-2010-1636,CWE-200
CVE-2010-1641,CWE-264
CVE-2010-1643,CWE-476
CVE-2010-2066,CWE-264
CVE-2010-2071,CWE-264
CVE-2010-2226,CWE-20
CVE-2010-2240,CWE-94
CVE-2010-2248,CWE-20
CVE-2010-2478,CWE-189
CVE-2010-2492,CWE-119
CVE-2010-2495,CWE-20
CVE-2010-2521,CWE-119
